"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"12",13,188028.790345108,1917185.13666589,108124.649213664,3411.62269624219,0.0660523418425229,0.0942972989610462,0.0316456525656469,0.0886539584066158,1263.03261470973,1955.14755507237,792.220825018362,839.019113624209,0.0680687456057039,0.0461419835235006,0.0593793051818133,0.00799483770648352,0.157451879329403,0.208963789259369,0.169008747683118,0.0901386783837348,0.162845262712944,0.149579857253579,0.339213352774262,0.0313722338844097,0.105007658715121,0.123389346365171,0.061570555255294,0.166108331039308,2.09858471023184,2.07578858280765,1.8444221122341,2.98036498442425,1.32708645704199,1.4251241846002,0.982670917792987,2.28322388714946,3.44722826734652,3.40340565560732,3.28364641943564,4.18823333126381
"13",14,183861.233568397,1907151.35844045,99647.6925397236,3331.77958787458,0.0686641347715074,0.0550729259969748,0.0630191627059575,0.0921567436601661,1223.87501243628,1821.48997661896,912.183628079853,826.443534514374,0.0680687456057039,0.0510729170986755,0.0378993628856304,0.00799483770648352,0.155758954545323,0.20507422317234,0.193194523123096,0.0884236827823138,0.143678210129589,0.148807591724232,0.200685573323383,0.0289348108948614,0.112530551900095,0.116197537592523,0.11356441200274,0.16280267125143,2.17682248052778,2.09831453443185,1.97161129851849,3.0394837856111,1.44589994412445,1.44778161332918,1.26516173732843,2.34875302930771,3.51046546860787,3.42575299090443,3.2659458663922,4.26039673423728
"14",15,174434.053403114,1902291.72725708,98574.5857293718,3226.94941357907,0.0804461130231887,0.0511305039027317,0.0617645291211062,0.0962639783653278,1267.84989277454,1698.92172444206,870.309983402629,834.399861220791,0.0678018129558109,0.0510729170986755,0.0378993628856304,0.00799483770648352,0.165451145772644,0.205507113074136,0.185954983188785,0.0940248719351798,0.108217563889188,0.147917782073723,0.184647902990521,0.0281709407419409,0.14940021516518,0.116690819574962,0.119859408998586,0.170512915063228,2.26014922498878,2.10921507884123,2.05102637537949,3.04857800005906,1.62295925378999,1.46559720307903,1.34952411414639,2.4109751192798,3.517300789856,3.43586927274107,3.34227309268906,4.26543321419276
"15",16,173817.568443299,1888149.59329046,98346.791486169,3144.3416262665,0.0786194016444345,0.0464176591142188,0.0568634951362655,0.115706587412702,1191.74795807968,1606.50807097652,816.927460734888,830.965718662745,0.0678018129558109,0.0510729170986755,0.0378993628856304,0.00454399031785516,0.164979927060688,0.204573293312036,0.18481396292225,0.101460336095974,0.107109523948827,0.146259367639562,0.182076509259292,0.0309203061057199,0.150140889478521,0.117372472254436,0.120937147168622,0.188631155543142,2.28168130872497,2.14730290109471,2.07064699491042,3.02397628652559,1.64314561384745,1.50440287565069,1.37047147374954,2.39077559635605,3.53459996733015,3.47117614936653,3.35872820299945,4.23657289891683
"16",17,171515.322860139,1850705.13238927,97002.3203189956,3089.99491999172,0.0780267599658799,0.0466576342942767,0.0541398147000527,0.116108303859262,1147.41827771696,1559.43004386932,792.157527359235,812.630770200845,0.0678018129558109,0.0510729170986755,0.0395119505890551,0.0045439903270839,0.161580274848483,0.211100846712203,0.179263703015073,0.0975486535615118,0.0991805979928701,0.136205621949829,0.16244516602755,0.0287999052653539,0.156359618438134,0.124940988791959,0.131540597829806,0.190937359293763,2.3539068462811,2.16731606418748,2.15607591805273,3.08541000830442,1.72382792237639,1.58789551184584,1.47986482322222,2.45125411814866,3.57680458743954,3.46898729706901,3.40311344057829,4.28923464581665
"17",18,170693.217142751,1812462.46421475,97092.3841136262,3052.60467631744,0.0765709937077149,0.0459470475709691,0.049590668101589,0.116829109549767,1090.20401374171,1521.10048029108,743.837511473842,787.225133142309,0.0678018129558109,0.0533422745897408,0.0395119505890551,0.0045439903270839,0.160514099277397,0.193919497746139,0.180644451888291,0.0968796885358658,0.0963976183853123,0.115166468216858,0.165298408360492,0.0276279078977546,0.158293569897032,0.136573950282443,0.130856208193634,0.194013395645726,2.38951682835227,2.3011595286009,2.15550603311467,3.1243938306571,1.75925601866559,1.72410245241799,1.47949356903001,2.49710896687077,3.60905311135077,3.5858050671726,3.39740088128591,4.32364192689344
"18",19,170495.196077262,1798645.46478632,94311.9197603503,3005.2856723815,0.074664932391868,0.0450356328709704,0.0593572981280474,0.118049630824798,1031.94664931315,1455.29250506346,752.895417896948,771.022946878997,0.07261294667574,0.0533422745897408,0.0565102673375646,0.00454399164532498,0.161056538462598,0.192420610648041,0.171319045922785,0.0966981972806818,0.0965677224080108,0.113304779912081,0.132077009037786,0.0267913832220623,0.158044546757828,0.137366490001039,0.147164502656237,0.196803640207519,2.38841493422265,2.33546734645372,2.28712746620662,3.15344680944042,1.76341065319388,1.76087132400197,1.60964551092339,2.53877115080332,3.60615696266212,3.61555752425852,3.53297672335324,4.35140473681998
"19",20,166116.337608425,1776613.32188711,92573.3501223748,2976.24242574456,0.0788037849585762,0.038124964338335,0.0590342597740156,0.118375317555556,1028.51462260162,1407.55796602157,744.554211259805,746.84620871265,0.07261294667574,0.0540445444556641,0.0530901637773593,0.00454399164532498,0.176937320093462,0.187251500483553,0.155278326406859,0.0955315091947427,0.0812648953498677,0.110363946970729,0.123032376177818,0.026119478716182,0.181781956525801,0.136751509418261,0.143622969363451,0.197578087906178,2.40581409416297,2.36371860868557,2.38390492963443,3.18602716159627,1.88461082829766,1.79632292440126,1.6972392606678,2.57073766005881,3.60384469292145,3.63908138481571,3.61469234652604,4.38223025848516
"20",21,165841.022055077,1680843.80095099,92495.9822973766,2930.26621043372,0.0527753820955857,0.0531033412601035,0.0568786097166669,0.12066423480094,980.16257789366,1464.96321069782,708.637685377798,734.825733602509,0.0744487495176827,0.0622937704726174,0.0562064342654753,0.00454399164532498,0.17588238903025,0.177305453435776,0.155450813138798,0.0944600788825076,0.081090889365566,0.0836656971220811,0.123635970782224,0.0252891525082613,0.179353348102264,0.172300251670087,0.143459710756016,0.19945770355594,2.41274440820831,2.41303973781478,2.38565230607343,3.2179684164879,1.891541142343,1.9399260481686,1.70084485896101,2.60852533621847,3.61077500696679,3.6200379675072,3.61539988174856,4.40900566126506
"21",22,165819.232059416,1660410.31461468,92115.7490067522,2914.79376876225,0.0520459984207503,0.0537859304687325,0.0513833388712104,0.119651207811372,933.672857538705,1422.92348939983,681.20650300079,708.094689289235,0.0744487495176827,0.0622937704726174,0.0562064342654753,0.00454399164532498,0.176370371296558,0.173506998611238,0.154306943747004,0.0932612068833081,0.0812509738819939,0.0789049540662031,0.123279445084764,0.0247227202814372,0.179094499113875,0.177347680766406,0.143136533196836,0.200178490862474,2.41114721943422,2.47653282736649,2.41306216197287,3.2528254116805,1.89089028702358,2.0016604985707,1.73378718204999,2.63421564896077,3.60846647527064,3.68078027551204,3.64153968943077,4.43841013592739
