"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"11",12,5345.99484390922,14253.4529225237,4968.27292681969,61.3320897334048,0.269522272726867,0.313588168313081,0.238065264958543,0.476231993827655,18834.6852834357,23111.9292350036,14269.4133924777,60282.965168903,0.00906149203188199,0.00791800055122956,0.00864598930644285,7.1679855060227e-07,0.275084030931901,0.253223939049949,0.307481567273264,0.150038619526546,0.0742790265837771,0.0749159334025356,0.0965956051806812,0.0323710928666067,0.234522231529355,0.241392486294272,0.216196990637582,0.173213254045519,1.88924584892682,1.92350637131189,1.73350373007985,2.46136965694459,1.76730411262524,1.73909072553619,1.60220643479335,1.98298620624023,3.0956427204177,3.1617221112824,2.94536045543915,3.63175098521633
"12",13,4971.30848719795,14058.0433316822,4330.06649850988,49.4741569542798,0.257283456307779,0.306276594625012,0.264827745859378,0.489290620398525,18679.3453812612,21500.2595593713,15230.24460449,68862.5771837149,0.010451153894902,0.00791800055122956,0.00860292222469424,7.1679855060227e-07,0.242294268887611,0.251790597940063,0.272999425368932,0.156031571067458,0.0654757224812276,0.0736308443196049,0.0762212055552583,0.0441124183765637,0.23616731791145,0.243728712975714,0.23267293811718,0.184162941329747,1.99577802058685,1.95250455166994,1.87409304731089,2.49701074035765,1.87901553419866,1.77019327557634,1.75724594472317,2.02695548894387,3.19596629428711,3.18059684480066,3.07422470619214,3.65839255113096
"13",14,4881.42705220949,13830.1114418907,4024.97095620763,47.0962331198587,0.250382552390932,0.300111686245871,0.265072780390507,0.454085534709105,17584.6898293748,20195.3704473949,15229.3121886614,66841.7165566224,0.010451153894902,0.00834466824418666,0.00874384310475552,7.1679855060227e-07,0.240193157413006,0.24971258427678,0.262101276745324,0.153425303772165,0.0638068534447228,0.0723644463618753,0.0669143113951686,0.0411063636611417,0.239425959132896,0.244395569576175,0.247600650266165,0.185712154024955,2.03226201067664,1.98096614865639,1.96822561317127,2.55532283735926,1.91858568071597,1.79888855822395,1.87432570035225,2.09825699148906,3.21917689402504,3.2079390772154,3.14834631554638,3.71030868563643
"14",15,4862.83793377266,12923.5907447756,3849.90871977707,38.553498564504,0.24695452982589,0.301147038304918,0.259631554581538,0.469759462464957,16395.1107428023,20158.0570562136,14842.6603056719,76103.2542331592,0.010451153894902,0.00834466824418666,0.0110998335008996,4.23648493279535e-07,0.239906919700643,0.251114045257586,0.253622277464812,0.142674296839849,0.0636777659226701,0.0661399154574556,0.0622028553319758,0.0367182798523358,0.239572734304598,0.255064621792111,0.246905711060839,0.191564918937081,2.03775325941864,2.02473576213939,2.03871292973079,2.61042785575096,1.92460872408994,1.89553395035695,1.94467025741599,2.16384279655999,3.22334920602636,3.22516847945619,3.21559868908994,3.7600347929877
"15",16,4858.91714111738,12495.8129336357,3548.24570314799,36.5917611349708,0.245060134144163,0.238705501467452,0.251283848227138,0.463102973527255,15314.5829991357,19498.6000107368,15132.9130027834,74898.4296679483,0.010451153894902,0.00901064871110509,0.0120177194412446,4.71642687458458e-07,0.239752713641389,0.238332673659982,0.217977675132198,0.142159980563197,0.0635877196724025,0.0641425726712366,0.055414018060715,0.036419379679541,0.239659952258387,0.223102538363457,0.235135312313205,0.191651561176607,2.03999138553583,2.07384711210221,2.13545926618823,2.62702656561002,1.92770447627674,1.94464530031977,2.04173194758898,2.18070562801334,3.22460500428914,3.27427982941901,3.30220433970757,3.77365771389832
"16",17,4559.26932180996,12464.4607567841,3416.58069320525,34.3073863072078,0.238694062758153,0.227919661008703,0.249764876911497,0.446249621930456,15374.7091603405,18327.7594870862,14776.7195630224,74964.1028281407,0.00996840782169236,0.00901064871110509,0.00840660758795885,4.71642687458458e-07,0.211177706128293,0.237552796179997,0.213111194405736,0.137689348924831,0.0580257557008026,0.0637931242280534,0.0527277483090537,0.0335391541089251,0.22908653113119,0.223604349243297,0.239991246421213,0.195070592168764,2.12803472843693,2.08613375814275,2.17926152328078,2.67723085315758,2.01631861269828,1.95686317756744,2.09598185639478,2.23794047830616,3.30526090020299,3.28512487411382,3.33975180313904,3.81786819769938
"17",18,4456.08370037734,12438.9668034792,3413.23570995644,31.8992938786316,0.235861539477581,0.226729833800103,0.249473290160097,0.441669285024653,14829.2851072188,17286.2438816086,13921.4086023589,75957.0123268728,0.00996840782169236,0.00901064871110509,0.00883768175058477,7.34007603854236e-07,0.208181485545217,0.23745786389024,0.21288360137711,0.132394607138028,0.0562753455997526,0.0637283120131556,0.0526839200577335,0.0241498564878271,0.230270806323466,0.223620795638622,0.239966653959455,0.208644783839996,2.16492763629099,2.09255321177165,2.18152743314071,2.74655686276383,2.05829010577711,1.96324069418261,2.09822603498618,2.34468297749778,3.33665912258325,3.28998470422791,3.34119327322653,3.87663741212134
"18",19,4298.08793299828,11838.5664430857,3327.39527013208,29.8008693620893,0.225997769659458,0.20042215852939,0.240840440804262,0.442604459802164,14556.5144649057,17204.0396570837,13512.4454888828,76855.272488064,0.00996840782169236,0.00654341830985251,0.0089983044335559,7.34007603854236e-07,0.204772063624465,0.212653856228468,0.198402366620762,0.132318915668131,0.0525729812169743,0.055035422573767,0.0497571229944058,0.0248420498617404,0.235496535063549,0.232001397420725,0.239150344585805,0.210506366053325,2.21424934936865,2.18582126104333,2.2366309250322,2.76955095599247,2.13192429395993,2.07860106717863,2.15528755025087,2.37156038878545,3.37000079881986,3.3581973526694,3.39580695302664,3.89749929776603
"19",20,4154.86958195172,11648.4242904566,3294.20558025346,28.4253591393316,0.224496528017616,0.19330801760085,0.237943792557285,0.436228732545687,14297.858124713,16579.28279209,12939.1448990733,76375.5540919599,0.00852545402566571,0.00654341830985251,0.0129664312495257,7.34007603854236e-07,0.201264465473327,0.209249309559167,0.196843079105384,0.132475090752753,0.0499766592649199,0.0539370980989726,0.0490636238783785,0.0254197475560277,0.239553737163617,0.23352145709467,0.240783920238963,0.21141755673791,2.25728081618556,2.21821171842192,2.26287260000031,2.78285348034104,2.18800790328279,2.11308525772939,2.18102834323807,2.38600260700022,3.40257362036555,3.3858534674586,3.40987461425755,3.91066416593789
"20",21,3951.05262311159,11358.9302652155,3181.11476708845,26.1542632290074,0.22893710174228,0.184863447582777,0.240056749235375,0.435726008382106,14329.6444625916,16173.9545665553,12760.7225210164,78931.6205528275,0.00935837406411402,0.00654341830985251,0.0129664312495257,7.34007603854236e-07,0.195924677004541,0.205162724117733,0.189113653512802,0.131081017758638,0.0462272128482569,0.0516327315814234,0.0454254671653841,0.0225905917140238,0.245872939174162,0.236835341731248,0.246271726971451,0.216198937470671,2.32041044183528,2.26323514721876,2.33161905394835,2.82868371524823,2.2595772792882,2.16658424587981,2.24748128578008,2.43601173740061,3.46212586192196,3.42619692611983,3.4686212358241,3.94914698761054
"21",22,3687.18648086553,11310.5909707447,3045.96372100507,16.8056187745235,0.237503432579031,0.158628158960214,0.234679346874617,0.502443259537708,14684.9211530931,15472.4372558485,12729.9288592501,117464.250433768,0.00935837406411402,0.00694721299335524,0.012536738052885,5.94784080753113e-07,0.18656527761886,0.204222285005374,0.186910373890007,0.117737450139789,0.0409466810238431,0.0509228122572062,0.0423698865668526,0.0137597232971376,0.245672758652681,0.237907925906485,0.25080831150652,0.22146312504585,2.40320782993669,2.2831323251348,2.37196785086374,2.91519185510477,2.3499947206357,2.18798892856886,2.31620435640267,2.54580795680611,3.53944124320833,3.44555443511077,3.49891728961782,4.02691716972734
