"","k","ss.euclidean","ss.manhattan","ss.minkowski","ss.correlation","sil.euclidean","sil.manhattan","sil.minkowski","sil.correlation","ch.euclidean","ch.manhattan","ch.minkowski","ch.correlation","dunn.euclidean","dunn.manhattan","dunn.minkowski","dunn.correlation","rand.general.euclidean","rand.general.manhattan","rand.general.minkowski","rand.general.correlation","rand.outfield.euclidean","rand.outfield.manhattan","rand.outfield.minkowski","rand.outfield.correlation","rand.specific.euclidean","rand.specific.manhattan","rand.specific.minkowski","rand.specific.correlation","vi.general.euclidean","vi.general.manhattan","vi.general.minkowski","vi.general.correlation","vi.outfield.euclidean","vi.outfield.manhattan","vi.outfield.minkowski","vi.outfield.correlation","vi.specific.euclidean","vi.specific.manhattan","vi.specific.minkowski","vi.specific.correlation"
"11",12,4748.54862385685,12525.1906380695,3884.72735146845,55.8366382767123,0.256764945150086,0.289792508574862,0.247347750025681,0.474914934569477,21411.9643261703,26528.6147194423,18709.6515020213,66378.3913155949,0.00967222489568418,0.00703235191752836,0.00819075673489831,1.15211272867243e-06,0.218035873365055,0.22038853579394,0.203606106658942,0.166079249549436,0.0582650376519073,0.0555475793101594,0.0585435174676098,0.0320695209776156,0.204744142929113,0.255066378124064,0.208812487277031,0.199893010416698,2.08992143321867,2.11119059219305,2.11042547833688,2.51456251251297,1.97711932368933,1.97743486339888,1.9712318536705,2.06901299727361,3.27885503261685,3.30338645661541,3.31179305319731,3.66450723712983
"12",13,4487.22193863376,11855.2675381176,3879.4439712834,47.8346148242035,0.24352624197975,0.238596289162321,0.245798495780238,0.471423433550974,20857.6284060919,25776.09857177,17174.9840400174,71274.6872813935,0.00891721253514621,0.00740645854252375,0.00819075673489831,1.15211272867243e-06,0.190685597206914,0.200205842642787,0.203563193719517,0.159012855741137,0.0533009142101676,0.0526012009407308,0.0584678653127835,0.0302513121780442,0.193825618948229,0.200908141710207,0.208915526579254,0.203731324990829,2.18095710352885,2.17825901779774,2.11161853841788,2.57382620140755,2.06609168589871,2.04450328900357,1.97293562738292,2.13434090107581,3.35869493017218,3.3704548822201,3.31235903669607,3.72062687587523
"13",14,4357.2436514705,11322.4853554155,3721.71678843689,36.3183406599599,0.234792727633999,0.233789734844765,0.233203423149382,0.50414317761457,19868.0695009192,24977.2273802277,16583.9626138723,87091.9887382809,0.00564628025331309,0.00853687052440621,0.00819075673489831,8.02864304502976e-07,0.176501171106148,0.171904979805513,0.199631523699311,0.134836955405343,0.0483531613507221,0.0451837204197824,0.0520631876085245,0.0190242371806816,0.200326166670561,0.209903251365097,0.209684827157314,0.213015931942373,2.26948914883536,2.2748119632084,2.17409645927115,2.67286913371197,2.15513504615286,2.15576564147144,2.07602492673002,2.26531366819249,3.41337492545255,3.41330771830969,3.35767317929611,3.79602495221682
"14",15,4044.15783063982,10687.8705696672,3409.2203504772,34.0843782506312,0.243100117350385,0.23239925552989,0.248744599669147,0.496470033097947,19976.4151760075,24645.8797600767,16928.8029311539,86251.7913966797,0.00574245170830008,0.00867359261087651,0.0112322529463443,8.01468628201438e-07,0.167840939816867,0.16990249314288,0.194304450570144,0.131943988366921,0.0423734036241856,0.0410831739897806,0.0463200767367476,0.0181528848292066,0.203120562289268,0.215212599630489,0.220550475733766,0.213333112533563,2.35258345019333,2.32204141818191,2.2306433903911,2.71262684105517,2.25485224273282,2.23974272955241,2.168523692815,2.30926940779232,3.48540136082156,3.44207268936401,3.39191594004144,3.83346703941537
"15",16,3827.06229945458,10353.7221000213,3189.31100843675,27.0809103534782,0.243564789542206,0.232677652775659,0.247430574636275,0.51284490459516,19769.8251947716,23782.9242555904,16972.1412784115,101627.644821366,0.00574245170830008,0.00867359261087651,0.0112322529463443,8.85026436916892e-07,0.158170738814643,0.162863307898707,0.184643916123843,0.122341074422762,0.0379957045868153,0.0391574835888197,0.0432632442965184,0.0141833326291628,0.209947557654783,0.216402982972673,0.213519766349064,0.214277992624835,2.42639824442958,2.38112431830594,2.31100105303657,2.77871868122283,2.33348471477199,2.2964363860205,2.24073140440808,2.38726990288163,3.55419488097925,3.48807462992296,3.46755999764817,3.902395764034
"16",17,3665.72015301546,10058.4917418254,3078.25713494344,24.6329976239428,0.235413869715406,0.228232351466028,0.238176955880354,0.511430257020782,19398.8111208548,22982.9394840708,16525.4132980315,104850.900478961,0.00574245170830008,0.00867359261087651,0.00804059925209424,2.52779725640193e-07,0.151490646961147,0.160044050614298,0.163421202384523,0.121010638066784,0.0352032900267353,0.0379221853339904,0.0389216545906167,0.0130245451649373,0.199785162661421,0.216297765819329,0.212055091589613,0.215327741531467,2.48414832633419,2.42313121610261,2.39014889647131,2.81926375404288,2.40338400908952,2.33991096539796,2.32271934594881,2.4271316951923,3.60427734962065,3.52614591343177,3.53043925922295,3.9397858594071
"17",18,3557.44578955995,9924.26676983913,2968.66530462506,22.6150048021538,0.23081218880465,0.224987064094569,0.238501967291027,0.507558620887668,18844.8375585137,21936.7838080254,16166.0049129104,107578.24322195,0.00574245170830008,0.00867359261087651,0.00862448530387294,2.52779725640193e-07,0.148653411220692,0.158111160189032,0.160590556354088,0.118034459543554,0.0335971324701948,0.0372803228506782,0.0375653969178695,0.011884925070488,0.201683671535685,0.217445658632391,0.212376754207772,0.215827841550232,2.51830999426096,2.44680181005505,2.43531758248367,2.85677631363302,2.45383048689136,2.36258585377949,2.36935664072797,2.46766694966945,3.62803840591663,3.55048833378215,3.57165232423371,3.97332101492794
"18",19,3553.7568599701,9582.45490614932,2902.59401115606,21.2197999089782,0.230740908666507,0.223686817720939,0.237527588019536,0.506055747135472,17816.4410165545,21491.8648360995,15637.5133077314,108342.291452817,0.00646098875185796,0.00867359261087651,0.0087309485922603,2.52779725640193e-07,0.148583876963899,0.153864274739101,0.159027833386284,0.11726229604354,0.0335823538927106,0.0350439557565826,0.0370243062148863,0.0114663496677877,0.201672230008811,0.221402054281921,0.212706919595717,0.21671256934976,2.51928712028935,2.50105504978083,2.45919587664817,2.87864739989426,2.45461410443828,2.42249356509947,2.39419077658013,2.49433896528334,3.62841381356505,3.59879227384079,3.59552617919457,3.99202223613267
"19",20,3469.45829492321,9374.09874434665,2795.40436918235,19.2736270052129,0.221923584264609,0.218584929541151,0.232528524983024,0.502536859962051,17311.084912235,20833.3396530496,15418.3063623254,113094.414876207,0.00825982255254239,0.00910831955202706,0.0087850884824458,2.52779725640193e-07,0.140307679312856,0.147729390901649,0.150448892466412,0.114650883976472,0.03157191423997,0.0328742781913018,0.0332524355376137,0.0100726673244538,0.203307482306553,0.22201403021266,0.218284383594759,0.217787410657041,2.57259590468453,2.55396675148596,2.53319485878482,2.92021673718463,2.51315338154768,2.48306711559125,2.47394391594643,2.53935497087225,3.66444364230073,3.64546916840468,3.6601524260301,4.03083669060026
"20",21,3416.85325116654,8987.49621459571,2735.87668897998,18.0373845991312,0.219402237762581,0.218793356702179,0.232809662090308,0.500153590806686,16711.7638818995,20680.8961179778,14984.9989323331,114859.200726917,0.00836921352153693,0.00910831955202706,0.00951219904488287,2.52779725640193e-07,0.138855666051251,0.141523075005868,0.144491366311097,0.113695700882703,0.0309005550599698,0.031059438410589,0.0321330388376969,0.00957079596562255,0.204889170986735,0.213149541421374,0.217683170837405,0.218249486259228,2.60025614481425,2.60967797546043,2.57059034818095,2.94685117260569,2.54224927400192,2.53932401038465,2.51627786654081,2.56558078928728,3.68010296224526,3.69622402134144,3.68624272405952,4.05681892039042
